Date,Close/Last,Volume,Open,High,Low
07/10/2024,$263.00,9635466,$259.12,$263.48,$258.51
07/09/2024,$265.44,6432808,$267.00,$267.55,$263.92
07/08/2024,$266.40,8561140,$270.25,$271.44,$265.97
07/05/2024,$270.36,7986435,$269.00,$270.545,$268.24
07/03/2024,$268.99,5017760,$269.07,$269.75,$268.15
07/02/2024,$268.23,8697811,$263.24,$268.23,$262.40
07/01/2024,$263.24,7955766,$263.79,$265.77,$261.30
06/28/2024,$262.47,13957270,$267.20,$268.60,$261.25
06/27/2024,$266.59,10529080,$268.51,$270.59,$266.50
06/26/2024,$273.60,12171990,$272.91,$274.46,$271.75
06/25/2024,$273.53,19897650,$276.85,$277.9291,$273.53
06/24/2024,$276.30,24149630,$275.32,$280.39,$275.27
06/21/2024,$275.22,14790150,$277.17,$277.54,$274.58
06/20/2024,$276.82,10164360,$273.19,$278.04,$273.10
06/18/2024,$273.62,6707460,$271.30,$273.90,$271.30
06/17/2024,$271.17,9258209,$269.00,$271.83,$269.00
06/14/2024,$270.66,8537260,$270.10,$271.55,$269.27
06/13/2024,$271.19,7361158,$270.32,$271.855,$269.316
06/12/2024,$270.32,7536636,$276.77,$277.60,$269.90
06/11/2024,$274.67,6244586,$274.54,$274.86,$272.22
06/10/2024,$275.04,5214002,$278.14,$278.56,$273.38
06/07/2024,$278.67,4515795,$277.71,$280.335,$276.86
06/06/2024,$277.04,4862378,$274.80,$277.15,$274.08
06/05/2024,$274.50,5368674,$273.53,$274.93,$272.02
06/04/2024,$272.42,4188515,$269.63,$272.99,$269.31
06/03/2024,$270.38,4838782,$273.09,$273.13,$268.06
05/31/2024,$272.46,8909985,$271.44,$272.76,$269.01
05/30/2024,$271.30,4903071,$268.70,$271.64,$268.31
05/29/2024,$268.86,5469713,$269.00,$271.14,$268.26
05/28/2024,$270.98,6212455,$274.23,$274.462,$270.23
05/24/2024,$274.49,4339967,$275.01,$275.24,$273.35
05/23/2024,$274.23,6115917,$275.24,$277.44,$273.0343
05/22/2024,$275.58,4202492,$275.53,$278.08,$275.12
05/21/2024,$275.95,6578156,$278.00,$278.425,$274.88
05/20/2024,$278.54,5460901,$279.22,$280.27,$278.18
05/17/2024,$280.10,6177831,$280.05,$280.91,$278.10
05/16/2024,$279.84,10341720,$281.74,$282.38,$279.26
05/15/2024,$281.50,21288370,$277.15,$281.73,$277.07
05/14/2024,$277.74,18526090,$279.44,$279.99,$274.265
05/13/2024,$279.39,10528400,$281.46,$282.15,$279.10
05/10/2024,$280.74,8986581,$279.55,$281.03,$279.24
05/09/2024,$278.54,8948813,$276.80,$278.79,$276.395
05/08/2024,$277.19,9029699,$277.80,$278.545,$274.915
05/07/2024,$276.46,6377080,$273.72,$277.88,$272.835
05/06/2024,$272.67,3958721,$269.65,$272.78,$269.57
05/03/2024,$268.49,3862018,$269.00,$269.45,$266.50
05/02/2024,$267.61,5061698,$269.35,$269.47,$266.65
05/01/2024,$267.32,6125360,$268.15,$270.91,$266.71
04/30/2024,$268.61,6376353,$270.53,$272.08,$268.585
04/29/2024,$271.84,4192247,$272.32,$274.47,$271.09
04/26/2024,$274.52,6840615,$275.01,$276.77,$273.83
04/25/2024,$275.16,8064621,$272.97,$276.22,$270.49
04/24/2024,$275.02,8807157,$282.57,$283.00,$274.49
04/23/2024,$274.11,6438002,$274.01,$274.89,$272.71
04/22/2024,$272.33,6463742,$270.95,$273.76,$269.36
04/19/2024,$269.78,7905368,$271.47,$272.00,$268.29
04/18/2024,$271.37,8231849,$272.57,$273.15,$269.86
04/17/2024,$272.69,5940897,$273.30,$274.00,$271.50
04/16/2024,$271.35,8237131,$270.54,$274.13,$270.17
04/15/2024,$271.28,10267490,$277.89,$277.91,$270.34
04/12/2024,$275.96,9038411,$275.55,$277.00,$274.055
04/11/2024,$275.68,8102293,$274.00,$276.48,$272.18
04/10/2024,$274.48,5276012,$275.42,$276.82,$274.12
04/09/2024,$276.72,7314306,$277.63,$278.00,$273.32
04/08/2024,$277.76,5542428,$276.25,$277.98,$275.15
04/05/2024,$277.14,4392050,$276.10,$277.957,$275.03
04/04/2024,$274.00,4018551,$278.36,$279.085,$273.56
04/03/2024,$276.96,4536847,$280.48,$280.48,$276.56
04/02/2024,$278.44,6912306,$278.00,$279.33,$276.98
04/01/2024,$278.28,5083986,$280.36,$280.89,$276.79
03/28/2024,$279.08,5844358,$278.49,$279.80,$277.12
03/27/2024,$279.02,5190674,$280.25,$281.25,$276.98
03/26/2024,$280.60,8752364,$284.13,$284.13,$278.41
03/25/2024,$281.21,8519433,$283.01,$283.50,$280.04
03/22/2024,$283.26,8744121,$290.00,$290.49,$282.89
03/21/2024,$290.37,5057559,$289.97,$290.96,$287.90
03/20/2024,$289.28,6104955,$287.64,$289.87,$286.72
03/19/2024,$287.35,6595183,$286.66,$288.06,$285.25
03/18/2024,$285.05,4095632,$283.87,$286.23,$283.25
03/15/2024,$283.04,9845181,$283.55,$285.63,$282.64
03/14/2024,$286.41,5484511,$288.96,$289.0405,$284.55
03/13/2024,$285.14,5783867,$284.66,$286.10,$283.82
03/12/2024,$283.92,7988665,$281.31,$284.475,$280.29
