Common/Forster's Tern,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sterna sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,1,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Royal Tern,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tern sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Black Skimmer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gull/tern sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Red-throated Loon,16,3,7,14,8,23,27,34,51,70,17,37,16,19,16,6,6,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,1
Common Loon,4,0,39,25,21,6,6,5,6,2,1,3,2,2,4,6,9,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,2,8,3,2,1,0,1,1,0,1
loon sp.,0,0,0,1,0,1,1,2,2,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,2,0,0,0,1
Northern Gannet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Great Cormorant,9,5,3,7,2,6,4,8,9,5,7,9,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,7,9,14,2,3,2,4,8,5,14,12,17
Double-crested Cormorant,74,47,36,50,24,29,20,52,42,78,43,156,207,221,300,452,443,450,375,300,102,80,67,95,58,84,87,141,88,64,73,158,107,103,110,115,104,103,139,141,90,66,36,72,60,64,57,65
cormorant sp.,2,1,0,3,0,1,2,1,5,2,2,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2,4,5,3,1,3,1,7,6,7
